序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
17,002497,雅化集团,19.27,3.38,0.63,255144,484465731.01,4.99,19.43,18.5,18.8,18.64,2.41,9.13,1.82
18,002074,国轩高科,27.84,3.38,0.91,245148,677283707.36,4.6,28.02,26.78,26.88,26.93,1.41,18.23,1.68
19,002580,圣阳股份,21.91,3.2,0.68,572919,1218674271.46,7.07,22.01,20.51,21.0,21.23,12.67,40.79,4.15
20,300073,当升科技,41.7,3.17,1.28,77668,319670273.26,3.61,41.86,40.4,40.59,40.42,1.54,21.81,1.51
21,688778,厦钨新能,46.95,3.16,1.44,30371,141292116.0,3.67,47.18,45.51,45.79,45.51,0.6,24.12,2.49
22,603612,索通发展,17.36,3.15,0.53,67559,115361483.0,4.75,17.45,16.65,16.8,16.83,1.36,10.65,1.43
23,300457,赢合科技,21.47,3.12,0.65,92773,197661061.13,3.36,21.48,20.78,20.83,20.82,1.46,19.75,1.95
24,002244,滨江集团,9.26,3.12,0.28,164016,150375331.32,5.01,9.32,8.87,8.91,8.98,0.59,8.88,0.96
25,300890,翔丰华,27.76,2.89,0.78,66126,181730733.18,4.63,28.05,26.8,26.98,26.98,6.05,32.6,1.53
26,601677,明泰铝业,16.84,2.75,0.45,181054,304278823.0,3.11,17.01,16.5,16.5,16.39,1.46,7.44,1.03
27,002882,金龙羽,22.77,2.66,0.59,138898,315031869.64,7.66,23.5,21.8,22.0,22.18,5.62,128.39,4.67
28,002167,东方锆业,16.62,2.66,0.43,327101,536349775.7,6.18,16.94,15.94,16.2,16.19,4.29,80.2,7.02
29,300014,亿纬锂能,55.99,2.6,1.42,198050,1103852005.53,4.07,56.25,54.03,54.55,54.57,0.94,18.43,2.43
30,603026,石大胜华,63.71,2.43,1.51,36606,231519244.0,3.28,64.2,62.16,62.66,62.2,1.57,16.48,2.74
31,603799,华友钴业,40.07,2.4,0.94,259507,1029187376.0,2.79,40.22,39.13,39.13,39.13,1.37,10.82,1.49
32,688006,杭可科技,22.7,2.39,0.53,44886,100764035.0,3.2,22.84,22.13,22.25,22.17,0.74,26.75,2.52
33,300207,欣旺达,18.2,2.36,0.42,177494,320502733.28,3.04,18.25,17.71,17.78,17.78,1.04,73.73,1.37
34,603067,振华股份,34.48,2.28,0.77,87518,298477012.0,3.89,34.68,33.37,33.77,33.71,1.16,53.55,6.31
35,300390,天华新能,63.48,2.21,1.37,190209,1192703500.32,5.07,64.3,61.15,62.27,62.11,2.67,11.5,3.84
36,002601,龙佰集团,16.03,2.17,0.34,91303,145141883.6,2.93,16.03,15.57,15.64,15.69,0.46,51.1,1.67
37,002466,天齐锂业,48.02,2.15,1.01,211651,1003396927.51,4.15,48.32,46.37,46.55,47.01,1.43,10.96,1.77
38,688275,万润新能,82.84,2.15,1.74,22321,183435983.0,3.43,83.18,80.4,80.45,81.1,1.77,6.51,1.89
