证券代码,证券名称,sw_l1,股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露
300830,金现代,计算机,300830,金现代,2026-08-27,,,,
300925,法本信息,计算机,300925,法本信息,2026-08-27,,,,
300935,盈建科,计算机,300935,盈建科,2026-08-15,2026-08-29,,,
300996,普联软件,计算机,300996,普联软件,2026-08-27,,,,
301042,安联锐视,计算机,301042,安联锐视,2026-08-28,,,,
301178,天亿马,计算机,301178,天亿马,2026-08-29,,,,
301185,鸥玛软件,计算机,301185,鸥玛软件,2026-08-28,,,,
600100,同方股份,计算机,600100,同方股份,2026-08-29,,,,
600271,航天信息,计算机,600271,航天信息,2026-08-29,,,,
600410,华胜天成,计算机,600410,华胜天成,2026-08-27,,,,
600571,信雅达,计算机,600571,信雅达,2026-08-27,,,,
600654,中安科,计算机,600654,中安科,2026-08-27,,,,
600718,东软集团,计算机,600718,东软集团,2026-08-29,,,,
601519,大智慧,计算机,601519,大智慧,2026-08-27,,,,
603138,海量数据,计算机,603138,海量数据,2026-08-27,,,,
603232,格尔软件,计算机,603232,格尔软件,2026-08-29,,,,
603496,恒为科技,计算机,603496,恒为科技,2026-08-31,,,,
603636,南威软件,计算机,603636,南威软件,2026-08-27,,,,
603660,苏州科达,计算机,603660,苏州科达,2026-08-29,,,,
603918,金桥信息,计算机,603918,金桥信息,2026-08-27,,,,
603990,麦迪科技,计算机,603990,麦迪科技,2026-08-27,,,,
605118,力鼎光电,计算机,605118,力鼎光电,2026-08-27,,,,
605398,新炬网络,计算机,605398,新炬网络,2026-08-31,,,,
688030,山石网科,计算机,688030,山石网科,2026-08-28,,,,
688038,中科通达,计算机,688038,中科通达,2026-08-27,,,,
688051,佳华科技,计算机,688051,佳华科技,2026-08-29,,,,
688058,宝兰德,计算机,688058,宝兰德,2026-08-28,,,,
688060,云涌科技,计算机,688060,云涌科技,2026-08-28,,,,
688066,*ST航图,计算机,688066,*ST航图,2026-08-27,,,,
688095,福昕软件,计算机,688095,福昕软件,2026-08-28,,,,
688201,ST信安,计算机,688201,ST信安,2026-08-27,,,,
688228,开普云,计算机,688228,开普云,2026-08-29,,,,
688229,博睿数据,计算机,688229,博睿数据,2026-08-29,,,,
688232,新点软件,计算机,688232,新点软件,2026-08-27,,,,
688258,卓易信息,计算机,688258,卓易信息,2026-08-27,,,,
688288,鸿泉技术,计算机,688288,鸿泉技术,2026-08-28,,,,
688296,和达科技,计算机,688296,和达科技,2026-08-28,,,,
688316,青云科技,计算机,688316,青云科技,2026-08-28,,,,
688318,财富趋势,计算机,688318,财富趋势,2026-08-28,,,,
