股票代码,circulating_cap_yi,market_cap_yi,price,change_pct_1d
688201,23.1,23.1,7.27,0.28
688228,54.2,54.2,80.3,-1.05
688229,28.4,28.4,63.96,-0.91
688232,58.6,58.6,18.19,0.61
688258,110.2,110.2,90.94,-1.69
688288,18.6,18.6,18.64,-1.27
688296,26.5,26.5,24.7,-1.36
688316,22.1,22.1,46.22,-1.05
688318,274.1,274.1,76.43,3.31
688500,27.1,27.4,36.11,-1.28
688509,16.4,32.7,4.25,0.24
688561,170.4,170.4,24.97,0.12
688588,37.4,37.4,9.59,-0.42
688590,35.7,39.7,12.68,0.08
688787,59.5,59.5,98.56,-1.72
688246,23.6,23.6,17.17,-1.89
300766,75.2,82.9,21.01,0.05
301159,16.5,24.1,31.11,-2.32
301117,14.8,23.1,12.8,-9.73
688171,31.4,31.4,26.88,-3.2
301218,33.4,54.3,47.61,0.19
301153,57.6,61.7,17.35,0.7
301269,513.4,513.4,93.7,1.41
000409,51.6,59.2,8.74,0.23
301095,123.8,143.3,71.57,-1.02
301330,49.2,56.6,24.06,0.12
301339,64.0,64.8,11.16,0.36
301316,150.1,154.9,38.37,-0.85
688031,120.0,120.0,99.08,-2.35
688244,22.7,22.7,15.01,-1.64
688291,42.0,42.0,40.91,-2.9
688152,31.6,31.6,31.02,-1.52
301396,240.5,365.2,169.94,-1.73
688206,186.8,215.7,42.79,3.31
688489,39.5,39.8,23.47,-0.76
688343,198.4,198.4,55.18,-0.76
688562,56.6,56.6,14.15,0.5
301315,35.6,35.6,40.45,1.05
688631,65.6,65.6,40.13,1.08
688651,10.6,23.1,22.54,-1.83
688695,10.3,16.4,19.25,-1.79
301182,59.6,65.3,68.18,-3.25
301600,27.5,89.1,85.23,-1.07
301556,16.9,49.0,57.47,-0.76
301638,56.2,714.5,22.47,0.49
300536,26.6,26.6,9.06,0.55
000034,197.5,236.5,23.26,0.09
000070,136.1,138.0,15.89,-1.12
002104,67.6,79.9,11.28,-0.44
002467,61.9,62.3,4.53,0.0
300134,63.8,63.8,8.31,-0.48
300183,40.0,49.8,10.77,1.13
300292,47.1,56.6,4.22,-0.94
300310,30.8,39.3,4.46,0.0
300353,102.0,116.2,18.89,0.16
300513,23.2,23.2,7.4,-0.4
300555,25.0,25.2,12.62,0.08
300560,33.5,41.1,17.9,0.39
300571,34.2,41.2,29.56,-1.37
300590,38.9,50.2,10.87,-0.73
300597,21.3,21.4,7.86,-0.76
300638,100.4,170.1,18.92,1.23
300710,22.1,29.5,29.69,-2.59
300913,101.4,121.6,35.48,-0.89
300959,46.7,71.8,89.29,-1.85
600289,25.5,28.4,4.5,-0.22
600487,1582.6,1590.8,64.5,-0.15
600498,504.7,539.1,39.69,-2.39
600522,1144.4,1144.4,33.53,-1.06
600734,36.6,36.6,1.68,0.6
600775,64.1,87.2,9.54,1.06
600776,122.5,160.9,12.81,-0.47
603220,99.8,99.8,18.6,0.32
688159,29.6,29.6,31.84,-2.27
688618,34.1,34.1,31.0,2.01
688283,34.1,34.1,28.03,-0.99
301191,66.3,87.9,90.76,3.76
301139,2.5,4.0,3.3,-4.07
000839,107.8,107.8,2.75,0.73
300603,28.7,35.7,7.67,0.39
301205,245.1,380.8,292.7,-3.69
688387,252.5,428.0,12.52,0.0
301314,7.8,23.7,42.89,-1.81
301382,90.1,108.8,38.14,-2.6
301428,19.4,27.4,27.8,-0.89
300383,218.2,218.6,12.16,0.08
300442,1016.1,1019.1,62.1,-0.8
688592,13.7,28.8,24.79,0.08
002881,75.5,124.6,41.25,3.64
300098,69.4,78.2,4.5,0.22
