股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
600734,*ST实达,通信,2026-08-27,36.6,36.6,1.68,-0.59,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,500万元至3,750万元,同比上年增长:32.44%至54.96%。",2026-07-15,True
002134,天津普林,电子,2026-08-27,50.8,50.8,20.5,5.57,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:3,600万元至5,200万元,同比上年增长:435.64%至673.71%。",2026-07-09,True
301218,华是科技,计算机,2026-08-27,33.4,54.3,47.61,22.49,2026-08-26,2026-07-29,,,,,False
603297,永新光学,电子,2026-08-27,116.1,116.1,104.85,12.59,2026-08-26,2026-07-29,,,,,False
300383,光环新网,通信,2026-08-27,218.2,218.6,12.16,-8.23,2026-08-26,2026-07-29,,,,,False
301382,蜂助手,通信,2026-08-27,90.1,108.8,38.14,10.74,2026-08-26,2026-07-29,,,,,False
601231,环旭电子,电子,2026-08-27,633.1,633.1,26.5,12.43,2026-08-26,2026-07-29,,,,,False
301314,科瑞思,通信,2026-08-27,7.8,23.7,42.89,19.96,2026-08-26,2026-07-29,,,,,False
600353,旭光电子,电子,2026-08-27,279.1,279.1,33.68,40.69,2026-08-26,2026-07-29,,,,,False
301180,万祥科技,电子,2026-08-27,19.7,47.9,11.98,10.2,2026-08-26,2026-07-29,,,,,False
301316,慧博云通,计算机,2026-08-27,150.1,154.9,38.37,10.18,2026-08-26,2026-07-29,,,,,False
600707,彩虹股份,电子,2026-08-27,327.2,327.3,9.12,10.13,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:9,600万元至11,000万元,同比上年下降:75.66%至78.76%,同比上年降低34,200万元至35,600万元。",2026-07-09,True
688031,星环科技,计算机,2026-08-27,120.0,120.0,99.08,20.73,2026-08-26,2026-07-29,,,,,False
688291,金橙子,计算机,2026-08-27,42.0,42.0,40.91,10.77,2026-08-26,2026-07-29,,,,,False
688152,麒麟信安,计算机,2026-08-27,31.6,31.6,31.02,18.84,2026-08-26,2026-07-29,,,,,False
688787,海天瑞声,计算机,2026-08-27,59.5,59.5,98.56,6.72,2026-08-26,2026-07-29,,,,,False
688387,信科移动,通信,2026-08-27,252.5,428.0,12.52,2.62,2026-08-26,2026-07-29,,,,,False
688206,概伦电子,计算机,2026-08-27,186.8,215.7,42.79,31.85,2026-08-26,2026-07-29,,,,,False
688500,慧辰股份,计算机,2026-08-27,27.1,27.4,36.11,17.14,2026-08-26,2026-07-29,,,,,False
688343,云天励飞,计算机,2026-08-27,198.4,198.4,55.18,-7.13,2026-08-26,2026-07-29,,,,,False
301205,联特科技,通信,2026-08-28,245.1,380.8,292.7,27.88,2026-08-26,2026-07-29,,,,,False
300442,润泽科技,通信,2026-08-28,1016.1,1019.1,62.1,2.27,2026-08-26,2026-07-29,,,,,False
002195,岩山科技,计算机,2026-08-28,356.6,359.8,6.35,-5.08,2026-08-26,2026-07-29,,,,,False
002881,美格智能,通信,2026-08-28,75.5,124.6,41.25,9.39,2026-08-26,2026-07-29,,,,,False
688592,司南导航,通信,2026-08-28,13.7,28.8,24.79,16.98,2026-08-26,2026-07-29,,,,,False
002279,久其软件,计算机,2026-08-28,50.4,54.7,6.34,-5.1,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,800万元至3,500万元。",2026-07-14,True
002642,荣联科技,计算机,2026-08-28,47.8,47.8,7.23,-0.28,2026-08-26,2026-07-29,,,,,False
002835,同为股份,计算机,2026-08-28,16.0,27.5,12.54,8.38,2026-08-26,2026-07-29,,,,,False
300288,朗玛信息,计算机,2026-08-28,25.6,33.8,9.99,5.71,2026-08-26,2026-07-29,,,,,False
300245,ST天玑,计算机,2026-08-28,16.7,17.4,5.69,5.37,2026-08-26,2026-07-29,,,,,False
300170,汉得信息,计算机,2026-08-28,149.9,157.0,15.09,4.07,2026-08-26,2026-07-29,,,,,False
688618,三旺通信,通信,2026-08-28,34.1,34.1,31.0,15.99,2026-08-26,2026-07-29,,,,,False
300168,万达信息,计算机,2026-08-28,72.0,72.0,5.0,4.37,2026-08-26,2026-07-29,,,,,False
003004,声迅股份,计算机,2026-08-28,47.3,56.3,68.81,17.42,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,200万元至1,560万元。",2026-07-15,True
301191,菲菱科思,通信,2026-08-28,66.3,87.9,90.76,-3.32,2026-08-26,2026-07-29,,,,,False
300166,东方国信,计算机,2026-08-28,116.7,146.7,12.88,2.71,2026-08-26,2026-07-29,,,,,False
300020,ST银江,计算机,2026-08-28,26.0,26.9,3.39,-7.61,2026-08-26,2026-07-29,,,,,False
301428,世纪恒通,通信,2026-08-28,19.4,27.4,27.8,4.32,2026-08-26,2026-07-29,,,,,False
688316,青云科技,计算机,2026-08-28,22.1,22.1,46.22,6.22,2026-08-26,2026-07-29,,,,,False
300310,宜通世纪,通信,2026-08-28,30.8,39.3,4.46,5.2,2026-08-26,2026-07-29,,,,,False
300302,同有科技,计算机,2026-08-28,105.3,136.9,28.56,4.62,2026-08-26,2026-07-29,,,,,False
301185,鸥玛软件,计算机,2026-08-28,22.8,25.2,16.42,3.92,2026-08-26,2026-07-29,,,,,False
301330,熵基科技,计算机,2026-08-28,49.2,56.6,24.06,6.74,2026-08-26,2026-07-29,,,,,False
000409,云鼎科技,计算机,2026-08-28,51.6,59.2,8.74,2.34,2026-08-26,2026-07-29,,,,,False
301153,中科江南,计算机,2026-08-28,57.6,61.7,17.35,3.28,2026-08-26,2026-07-29,,,,,False
688030,山石网科,计算机,2026-08-28,29.7,29.7,16.5,13.63,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,800万元至2,600万元,同比上年增长:66.04%至76.49%,同比上年增长5,055.72万元至5,855.72万元。",2026-07-17,True
301117,ST佳缘,计算机,2026-08-28,14.8,23.1,12.8,-23.12,2026-08-26,2026-07-28,,,,,False
301042,安联锐视,计算机,2026-08-28,30.1,31.5,32.58,23.35,2026-08-26,2026-07-29,,,,,False
688058,宝兰德,计算机,2026-08-28,17.1,17.1,22.57,13.87,2026-08-26,2026-07-29,,,,,False
688095,福昕软件,计算机,2026-08-28,52.7,52.7,57.7,12.37,2026-08-26,2026-07-29,,,,,False
688590,新致软件,计算机,2026-08-28,35.7,39.7,12.68,7.19,2026-08-26,2026-07-29,,,,,False
688561,奇安信,计算机,2026-08-28,170.4,170.4,24.97,-0.91,2026-08-26,2026-07-29,,,,,False
688509,正元地信,计算机,2026-08-28,16.4,32.7,4.25,6.0,2026-08-26,2026-07-29,,,,,False
688288,鸿泉技术,计算机,2026-08-28,18.6,18.6,18.64,13.83,2026-08-26,2026-07-29,,,,,False
688296,和达科技,计算机,2026-08-28,26.5,26.5,24.7,68.99,2026-08-26,2026-07-29,,,,,False
688060,云涌科技,计算机,2026-08-28,20.9,20.9,34.72,10.71,2026-08-26,2026-07-29,,,,,False
600522,中天科技,通信,2026-08-28,1144.4,1144.4,33.53,14.35,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:235,159.5万元至250,836.8万元,同比上年增长:50%至60%,同比上年增长78,386.5万元至94,063.8万元。",2026-07-15,True
301315,威士顿,计算机,2026-08-28,35.6,35.6,40.45,13.27,2026-08-26,2026-07-29,,,,,False
301556,托普云农,计算机,2026-08-28,16.9,49.0,57.47,4.09,2026-08-26,2026-07-29,,,,,False
300378,鼎捷数智,计算机,2026-08-28,82.8,83.4,30.72,10.03,2026-08-26,2026-07-29,,,,,False
300590,移为通信,通信,2026-08-28,38.9,50.2,10.87,6.88,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:8,375.4万元至9,306万元,同比上年增长:170%至200%。",2026-07-15,True
300555,ST路通,通信,2026-08-28,25.0,25.2,12.62,5.25,2026-08-26,2026-07-29,,,,,False
688318,财富趋势,计算机,2026-08-28,274.1,274.1,76.43,13.45,2026-08-26,2026-07-29,,,,,False
300469,信息发展,计算机,2026-08-28,137.7,137.8,55.51,15.03,2026-08-26,2026-07-29,,,,,False
300525,博思软件,计算机,2026-08-28,50.3,61.3,8.16,1.62,2026-08-26,2026-07-29,,,,,False
688695,中创股份,计算机,2026-08-28,10.3,16.4,19.25,11.79,2026-08-26,2026-07-29,,,,,False
300579,数字认证,计算机,2026-08-28,58.5,60.6,22.46,3.79,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:4,000万元至5,000万元。",2026-07-17,True
300634,彩讯股份,计算机,2026-08-28,82.9,86.1,19.09,3.19,2026-08-26,2026-07-29,,,,,False
300678,中科信息,计算机,2026-08-28,63.8,65.0,21.92,-5.76,2026-08-26,2026-07-29,,,,,False
300691,联合光电,计算机,2026-08-28,32.4,39.5,14.67,15.67,2026-08-26,2026-07-29,,,,,False
301638,南网数字,计算机,2026-08-28,56.2,714.5,22.47,-6.57,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:15,000万元至21,000万元,同比上年增长:1051.24%至1511.74%。",2026-07-22,True
300789,唐源电气,计算机,2026-08-28,25.5,26.3,18.25,10.33,2026-08-26,2026-07-29,,,,,False
300790,宇瞳光学,计算机,2026-08-28,85.5,97.4,18.71,14.36,2026-08-26,2026-07-29,,,,,False
300605,恒锋信息,计算机,2026-08-28,13.0,17.0,10.29,14.06,2026-08-26,2026-07-29,,,,,False
000062,深圳华强,电子,2026-08-28,231.7,231.9,22.17,2.93,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:35,343万元至42,412万元,同比上年增长:50%至80%。",2026-07-15,True
002152,广电运通,计算机,2026-08-28,244.2,244.4,9.84,-0.2,2026-08-26,2026-07-29,,,,,False
001298,好上好,电子,2026-08-28,72.2,76.7,17.73,10.19,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:13,500万元至16,000万元,同比上年增长:301.65%至376.03%。",2026-07-14,True
603341,龙旗科技,电子,2026-08-28,100.0,195.3,37.38,-0.51,2026-08-26,2026-07-29,,,,,False
300088,长信科技,电子,2026-08-28,171.3,172.1,6.89,1.92,2026-08-26,2026-07-29,,,,,False
688595,芯海科技,电子,2026-08-28,39.3,39.3,27.24,1.64,2026-08-26,2026-07-29,,,,,False
688210,统联精密,电子,2026-08-28,51.2,51.2,31.47,22.31,2026-08-26,2026-07-29,,,,,False
300136,信维通信,电子,2026-08-28,488.4,572.6,59.18,-3.91,2026-08-26,2026-07-29,,,,,False
301566,达利凯普,电子,2026-08-28,51.1,96.9,24.23,8.7,2026-08-26,2026-07-29,,,,,False
301067,显盈科技,电子,2026-08-28,17.7,26.9,27.71,15.94,2026-08-26,2026-07-29,,,,,False
688262,国芯科技,电子,2026-08-28,88.0,88.0,26.19,9.04,2026-08-26,2026-07-29,,,,,False
