
=== 2025-01-14  n=153 ===
  603990 麦迪科技     board=2 pct=10.0 turn=32.3 floatmkt~48.6亿
  000710 贝瑞基因     board=2 pct=10.0 turn=11.2 floatmkt~40.6亿
  002030 达安基因     board=2 pct=9.9 turn=1.3 floatmkt~97.8亿
  002044 美年健康     board=2 pct=10.0 turn=1.1 floatmkt~276.9亿
  002052 同洲电子     board=2 pct=5.0 turn=2.6 floatmkt~38.5亿
  002112 三变科技     board=2 pct=10.0 turn=23.5 floatmkt~45.2亿
  002335 科华数据     board=2 pct=10.0 turn=1.1 floatmkt~168.2亿
  002524 光正眼科     board=2 pct=10.0 turn=13.2 floatmkt~22.8亿
  002622 皓宸医疗     board=2 pct=9.9 turn=8.4 floatmkt~28.4亿
  600107 *ST尔雅    board=1 pct=10.0 turn=6.9 floatmkt~17.9亿
  600130 波导股份     board=1 pct=9.9 turn=7.0 floatmkt~28.8亿
  600136 ST明诚     board=1 pct=5.0 turn=0.5 floatmkt~40.6亿
  600165 宁科生物     board=1 pct=5.1 turn=3.5 floatmkt~25.3亿
  600217 中再资环     board=1 pct=9.9 turn=5.8 floatmkt~85.3亿
  600590 泰豪科技     board=1 pct=10.0 turn=5.5 floatmkt~51.4亿
  600633 浙数文化     board=1 pct=10.0 turn=22.0 floatmkt~234.7亿
  600636 ???      board=1 pct=10.0 turn=9.4 floatmkt~40.3亿
  600678 ST金顶     board=1 pct=10.1 turn=6.8 floatmkt~25.0亿
  600817 宇通重工     board=1 pct=10.0 turn=3.7 floatmkt~68.5亿
  600868 梅雁吉祥     board=1 pct=10.0 turn=16.3 floatmkt~58.3亿
  600892 大晟文化     board=1 pct=9.9 turn=5.8 floatmkt~19.2亿
  600986 浙文互联     board=1 pct=10.0 turn=26.7 floatmkt~124.7亿
  601010 ST文峰     board=1 pct=10.0 turn=6.0 floatmkt~55.0亿
  601616 广电电气     board=1 pct=10.0 turn=1.8 floatmkt~38.5亿
  601777 千里科技     board=1 pct=10.1 turn=3.2 floatmkt~388.4亿
  601789 宁波建工     board=1 pct=10.0 turn=22.7 floatmkt~61.3亿
  603070 万控智造     board=1 pct=10.0 turn=9.3 floatmkt~12.7亿
  603109 神驰机电     board=1 pct=10.0 turn=3.9 floatmkt~40.4亿
  603110 东方材料     board=1 pct=10.0 turn=22.6 floatmkt~40.9亿
  603119 浙江荣泰     board=1 pct=10.0 turn=14.8 floatmkt~66.8亿
  603211 晋拓股份     board=1 pct=9.9 turn=44.7 floatmkt~13.1亿
  603269 海鸥股份     board=1 pct=10.0 turn=6.8 floatmkt~26.6亿
  603275 众辰科技     board=1 pct=10.0 turn=9.3 floatmkt~17.2亿
  603286 日盈电子     board=1 pct=10.0 turn=26.1 floatmkt~29.8亿
  603315 福鞍股份     board=1 pct=10.0 turn=4.3 floatmkt~38.1亿
  603360 百傲化学     board=1 pct=10.0 turn=4.5 floatmkt~135.2亿
  603389 亚振家居     board=1 pct=10.0 turn=1.8 floatmkt~15.1亿
  603516 淳中科技     board=1 pct=10.0 turn=9.8 floatmkt~109.8亿
  603583 捷昌驱动     board=1 pct=10.0 turn=9.1 floatmkt~125.7亿
  603629 利通电子     board=1 pct=10.0 turn=2.1 floatmkt~67.9亿
  603637 镇海股份     board=1 pct=10.0 turn=7.9 floatmkt~21.7亿
  603717 天域生物     board=1 pct=10.0 turn=5.3 floatmkt~23.6亿
  603789 ST星农     board=1 pct=10.0 turn=6.7 floatmkt~18.3亿
  603813 原尚股份     board=1 pct=10.0 turn=3.8 floatmkt~9.6亿
  603818 曲美家居     board=1 pct=10.2 turn=1.7 floatmkt~21.6亿
  603838 *ST四通    board=1 pct=10.1 turn=1.3 floatmkt~17.8亿
  603917 合力科技     board=1 pct=10.0 turn=6.0 floatmkt~25.7亿
  605060 联德股份     board=1 pct=10.0 turn=2.1 floatmkt~49.7亿
  605186 健麾信息     board=1 pct=10.0 turn=4.8 floatmkt~33.2亿
  605488 福莱新材     board=1 pct=10.0 turn=7.0 floatmkt~80.1亿
  688630 芯碁微装     board=1 pct=10.0 turn=9.5 floatmkt~80.9亿
  000056 *ST皇庭    board=1 pct=10.1 turn=13.9 floatmkt~30.4亿
  000096 广聚能源     board=1 pct=10.0 turn=1.5 floatmkt~68.4亿
  000533 顺钠股份     board=1 pct=10.0 turn=16.6 floatmkt~44.5亿
  000656 金科股份     board=1 pct=4.3 turn=2.7 floatmkt~87.8亿
  000663 永安林业     board=1 pct=9.9 turn=8.5 floatmkt~17.7亿
  000679 大连友谊     board=1 pct=9.8 turn=10.8 floatmkt~22.3亿
  000816 智慧农业     board=1 pct=10.1 turn=10.1 floatmkt~49.8亿
  000818 航锦科技     board=1 pct=10.0 turn=11.9 floatmkt~239.3亿
  000839 国安股份     board=1 pct=10.1 turn=4.1 floatmkt~130.8亿
  000856 冀东装备     board=1 pct=10.0 turn=28.2 floatmkt~26.9亿
  000903 ST云动     board=1 pct=9.9 turn=7.6 floatmkt~66.5亿
  000967 盈峰环境     board=1 pct=10.0 turn=2.8 floatmkt~165.9亿
  001298 好上好      board=1 pct=10.0 turn=15.4 floatmkt~28.3亿
  001324 长青科技     board=1 pct=10.0 turn=10.5 floatmkt~15.3亿
  002010 传化智联     board=1 pct=10.1 turn=7.0 floatmkt~152.7亿
  002058 威尔泰      board=1 pct=10.0 turn=4.0 floatmkt~14.2亿
  002065 东华软件     board=1 pct=10.0 turn=1.0 floatmkt~299.8亿
  002067 景兴纸业     board=1 pct=10.1 turn=14.8 floatmkt~47.9亿
  002133 广宇集团     board=1 pct=10.0 turn=5.1 floatmkt~20.6亿
  002137 实益达      board=1 pct=10.1 turn=26.1 floatmkt~36.5亿
