序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1013,002463,沪电股份,58.28,10.0038,3,4,312120987.66,239200866.86,72920120.8,6247587537,1.167172454458,5.7333,1120.24,日涨幅偏离值达到7%的前5只证券,2025-08-13
1014,000983,山西焦煤,7.54,10.073,3,1,114590698.16,41750721.27,72839976.89,2038304518,3.573557152367,6.0227,349.87,日涨幅偏离值达到7%的前5只证券,2025-07-22
1015,603124,江南新材,78.0,5.734,1,0,72834258.0,0.0,72834258.0,2079656042,3.50222616284,38.6306,22.34,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-08-19
1016,002298,中电鑫龙,12.0,-3.537,2,1,129184740.6,56462636.0,72722104.6,4618475219,1.574591204925,55.0088,79.28,日换手率达到20%的前5只证券,2025-08-20
1017,002298,中电鑫龙,12.0,-3.537,2,1,129184740.6,56462636.0,72722104.6,4618475219,1.574591204925,55.0088,79.28,日振幅值达到15%的前5只证券,2025-08-20
1018,002474,榕基软件,9.35,10.0,2,1,93588102.3,20969262.0,72618840.3,1780184054,4.079288326217,22.3514,49.63,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-11-18
1019,688717,艾罗能源,78.46,19.1496,3,0,72553293.91,0.0,72553293.91,706522200,10.269074900973,10.0738,76.22,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-09-03
1020,002067,景兴纸业,5.03,-0.9843,3,1,157751351.05,85301595.55,72449755.5,2398985899,3.020015896309,40.1698,60.74,日换手率达到20%的前5只证券,2025-09-05
1021,000678,襄阳轴承,18.15,10.0,2,1,123791273.4,51401719.0,72389554.4,1969871652,3.674836090286,24.6157,83.42,日涨幅偏离值达到7%的前5只证券,2025-05-14
1022,000678,襄阳轴承,18.15,10.0,2,1,123791273.4,51401719.0,72389554.4,1969871652,3.674836090286,24.6157,83.42,日振幅值达到15%的前5只证券,2025-05-14
1023,002173,创新医疗,24.92,10.0221,3,2,244255684.7,171901028.0,72354656.7,2609350751,2.77289883977,25.7252,103.74,日涨幅偏离值达到7%的前5只证券,2025-08-14
1024,300640,德艺文创,8.86,20.0542,3,1,83997102.77,11650280.0,72346822.77,728482786,9.931164354239,39.2071,19.56,日换手率达到30%的前5只证券,2025-12-18
1025,300640,德艺文创,8.86,20.0542,3,1,83997102.77,11650280.0,72346822.77,728482786,9.931164354239,39.2071,19.56,日涨幅达到15%的前5只证券,2025-12-18
1026,300250,初灵信息,30.6,3.5183,5,4,290358062.0,218030601.72,72327460.28,1844606833,3.921023113764,38.7255,48.25,日换手率达到30%的前5只证券,2025-12-08
1027,000831,中国稀土,58.32,9.9962,1,1,188199735.14,116004926.72,72194808.42,18911003141,0.381760861027,8.545,618.9,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-08-29
1028,000710,贝瑞基因,15.59,10.0212,4,2,147448662.14,75406513.39,72042148.75,1826220107,3.944877645025,19.445,50.96,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-03-04
1029,300900,广联航空,35.32,-3.3653,3,1,232974340.74,160932362.43,72041978.31,3368371654,2.138777596719,39.9563,79.85,日换手率达到30%的前5只证券,2025-12-30
1030,002015,协鑫能科,11.87,-8.4105,2,0,113852212.4,42068523.0,71783689.4,3979648499,1.803769589652,19.3674,192.69,日振幅值达到15%的前5只证券,2025-06-19
1031,300450,先导智能,35.51,20.0068,2,2,188687973.65,117113688.0,71574285.65,4099383597,1.745976778128,7.7117,553.75,日涨幅达到15%的前5只证券,2025-08-29
1032,002645,华宏科技,13.92,10.0395,2,0,107534149.77,36006429.0,71527720.77,2711237997,2.638194096171,27.8259,71.39,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-07-16
1033,603676,卫信康,12.02,8.7783,1,0,71444483.11,0.0,71444483.11,602133762,11.865217933088,5.3503,52.31,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-04-24
1034,301076,新瀚新材,61.79,1.7454,3,3,238442985.54,167030929.03,71412056.51,2500310371,2.856127676719,36.8563,67.85,日换手率达到30%的前5只证券,2025-09-09
1035,688279,峰岹科技,263.52,20.0,2,1,115221620.25,43916798.72,71304821.53,1291483800,5.521154932799,9.4189,147.2,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-09-17
1036,300539,横河精密,30.46,20.0158,2,1,87014386.79,15724866.0,71289520.79,1111588545,6.413301136528,23.3988,52.55,日涨幅达到15%的前5只证券,2025-08-15
1037,300809,华辰装备,48.72,20.0,1,1,91056557.08,20018753.65,71037803.43,1299195199,5.467831430156,20.2611,68.75,日涨幅达到15%的前5只证券,2025-03-26
1038,301357,北方长龙,157.9,20.003,4,3,377020671.15,306025185.13,70995486.02,3906802632,1.817227352068,54.1307,37.58,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-08-06
1039,000555,神州信息,19.55,-8.216,3,2,169108789.25,98244722.0,70864067.25,3353582816,2.113085351938,17.3482,190.01,日跌幅偏离值达到7%的前5只证券,2025-11-07
1040,002201,九鼎新材,11.94,6.512,3,1,122107836.54,51294056.6,70813779.94,2317616000,3.055457847202,34.1113,71.88,日振幅值达到15%的前5只证券,2025-12-30
1041,002792,通宇通讯,29.73,-8.2973,2,1,186790113.35,116080213.24,70709900.11,4697756043,1.505184591596,45.5385,99.12,日换手率达到20%的前5只证券,2025-12-09
