code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sh.600798,2025-05-15,4.07,3.7,10.000000000000009,1.5182,74554496.06,49.10716378606245,3,False,8.823529411764719,0,MAIN
sh.603518,2025-05-29,10.99,9.99,10.010010010010006,30.3523,1114849386.49,36.7303099432333,3,False,16.433566433566437,0,MAIN
sh.600793,2025-05-21,30.49,27.72,9.992784992784998,18.9002,999387704.47,52.8770967751664,3,False,55.294117647058805,0,MAIN
sh.600113,2025-06-24,25.04,22.76,10.017574692442864,6.5964,666007319.53,100.96527189527622,3,False,61.53300212916963,0,MAIN
sh.600137,2025-05-21,22.48,20.44,9.980430528375738,5.1023,111508353.28,21.854527032906727,3,False,37.73584905660379,0,MAIN
sh.600192,2025-05-28,8.9,8.09,10.012360939431408,11.8586,448618520.94,37.83064787917629,3,False,21.47147147147146,0,MAIN
sh.600193,2025-05-08,3.44,3.28,4.878048780487809,0.3901,5708680.0,14.633888746475263,3,False,7.540983606557372,1,MAIN
sh.600193,2025-05-30,5.1,4.86,4.938271604938249,9.0132,188719509.66,20.938125156437227,3,False,62.000000000000014,1,MAIN
sh.600232,2025-06-10,7.7,7.0,10.000000000000009,20.846,585408138.7,28.082516487575553,3,False,21.317157712305047,0,MAIN
sh.600241,2025-06-30,10.65,9.68,10.0206611570248,16.7466,521033190.05,31.11277453632379,3,False,28.381962864721476,0,MAIN
sh.600281,2025-06-13,7.26,6.6,10.000000000000009,29.9527,1098052790.53,36.659559589953496,3,False,34.96932515337423,0,MAIN
sh.600289,2025-06-06,5.82,5.54,5.054151624548742,1.1432,37622561.82,32.90986863191043,3,False,-5.782312925170063,1,MAIN
sh.600289,2025-06-24,7.13,6.79,5.007363770250373,1.4754,58523541.54,39.666220374135825,3,False,17.881944444444443,1,MAIN
sh.600358,2025-06-03,5.48,5.22,4.9808429118774145,0.5163,14285812.0,27.66959519659113,3,False,21.113689095127608,1,MAIN
sh.600381,2025-05-07,3.42,3.26,4.907975460122693,0.0706,1418044.86,20.085621246458928,3,False,-32.08333333333333,1,MAIN
sh.600421,2025-05-14,6.1,5.81,4.991394148020656,1.693,20045661.0,11.840319551092735,3,False,5.253623188405787,1,MAIN
sh.600448,2025-05-08,3.58,3.25,10.153846153846157,31.3889,686004986.0,21.85501836636518,3,False,16.07142857142858,0,MAIN
sh.600463,2025-05-21,13.04,11.85,10.042194092827009,1.8226,71299942.48,39.11990699001427,3,False,38.111888111888106,0,MAIN
sh.600468,2025-05-20,6.09,5.54,9.927797833935005,8.0622,525442903.99,65.17363796358313,3,False,29.742388758782212,0,MAIN
sh.600468,2025-06-10,9.63,8.75,10.057142857142876,28.8177,2887136756.48,100.18623125648473,3,False,90.21739130434784,0,MAIN
sh.600530,2025-05-15,7.5,6.82,9.97067448680351,5.0098,287857791.38,57.45893875603816,3,False,50.55187637969094,0,MAIN
sh.600592,2025-05-07,27.15,24.68,10.008103727714746,13.5237,1447630385.2,107.04395876868017,3,False,34.13043478260871,0,MAIN
sh.600599,2025-06-11,8.52,8.11,5.055487053020968,8.232,114943618.76,13.963024630709429,3,False,4.107830551989733,1,MAIN
sh.600636,2025-05-07,7.36,7.01,4.992867332382311,0.5964,19255371.84,32.286002414486916,3,False,1.5942028985507228,1,MAIN
sh.600643,2025-06-27,6.92,6.29,10.015898251192358,11.6935,1282481555.08,109.67473853679394,3,False,34.9785407725322,0,MAIN
sh.600696,2025-05-21,7.01,6.68,4.940119760479034,1.2346,28824989.26,23.34763426210919,3,False,-21.50411280846064,1,MAIN
sh.600698,2025-05-21,8.83,8.03,9.96264009962642,6.6872,488256873.95,73.01364905341548,3,False,42.62877442273534,0,MAIN
sh.600722,2025-06-17,6.97,6.34,9.936908517350162,14.6783,693238442.71,47.228796434873246,3,False,20.532319391634978,0,MAIN
sh.600753,2025-05-13,6.11,5.82,4.982817869415812,3.8262,53718931.82,14.039760550938269,3,False,15.476190476190489,1,MAIN
sh.600753,2025-05-28,6.81,6.49,4.930662557781185,2.6257,40865164.47,15.563531427809725,3,False,21.992481203007518,1,MAIN
sh.600770,2025-05-21,6.86,6.24,9.935897435897443,0.6099,54387157.02,89.1738924741761,3,False,57.17884130982367,0,MAIN
sh.600774,2025-05-06,9.88,8.98,10.022271714922049,16.4646,445745041.97,27.072934779466248,3,False,13.240857503152604,0,MAIN
sh.603390,2025-05-28,15.96,14.51,9.993108201240531,2.7372,152794640.04,55.82151104778605,3,False,50.0517063081696,0,MAIN
sh.603557,2025-05-07,2.56,2.44,4.918032786885251,0.2235,3566261.76,15.956428456375837,3,False,11.415525114155244,1,MAIN
sz.002259,2025-05-09,3.83,3.65,4.93150684931507,2.2228,63700403.35,28.657730497570633,3,False,61.50442477876108,1,MAIN
sz.000669,2025-05-26,2.33,2.22,4.954954954954949,1.7199,27236361.0,15.83601430315716,3,False,18.085106382978733,1,MAIN
sz.000691,2025-05-21,5.27,5.02,4.980079681274896,2.3557,39757597.0,16.877190219467675,3,False,82.54545454545452,1,MAIN
sz.000695,2025-05-21,12.51,11.37,10.026385224274414,0.6146,17046126.0,27.7353172795314,3,False,18.06853582554515,0,MAIN
sz.000722,2025-05-21,15.49,14.08,10.01420454545454,19.0559,1333475164.65,69.97702363310052,3,False,20.136518771331048,0,MAIN
sz.000820,2025-05-21,2.65,2.52,5.158730158730163,4.9384,38398284.56,7.775450461687997,3,False,-1.17647058823529,1,MAIN
sz.000903,2025-05-28,5.05,4.59,10.02178649237473,1.4027,136023153.9,96.97237748627646,3,False,43.88714733542321,0,MAIN
sz.000929,2025-05-07,6.67,6.35,5.039370078740157,6.0827,75021386.6,12.333566771335096,3,False,-6.0650887573964525,1,MAIN
sz.001230,2025-05-29,25.55,23.23,9.98708566508826,8.1044,111977601.75,13.816889806771629,3,False,27.848101265822777,0,MAIN
sz.001236,2025-06-26,13.21,12.01,9.99167360532891,2.3481,101255495.44,43.12230971423704,3,False,29.55771305285868,0,MAIN
sz.001298,2025-06-27,29.49,26.81,9.996270048489375,54.0025,2351891343.3,43.55152712004074,3,False,35.60950935761254,0,MAIN
sz.001316,2025-05-07,47.26,42.96,10.009310986964604,13.654,173417403.79,12.70084984546653,3,False,35.47776726584673,0,MAIN
sz.002005,2025-06-26,2.4,2.29,4.8034934497816595,1.1153,46827448.6,41.98641495561732,3,False,27.93296089385475,1,MAIN
sz.002015,2025-06-17,11.78,10.71,9.990662931839388,0.7187,137425786.28,191.21439582579657,3,False,48.95688456189151,0,MAIN
sz.002017,2025-06-18,16.06,14.6,9.999999999999986,24.4199,2185222892.17,89.485333362135,3,False,44.841269841269835,0,MAIN
sz.002040,2025-05-15,9.3,8.45,10.059171597633142,1.3577,61357912.5,45.19254069382044,3,False,21.40804597701149,0,MAIN
sz.002082,2025-06-04,7.58,6.89,10.0145137880987,19.2924,792370511.46,41.07164020339615,3,False,22.597864768683262,0,MAIN
sz.002104,2025-06-03,9.8,8.91,9.988776655443331,27.7419,1613494945.24,58.16093869706112,3,False,10.272277227722771,0,MAIN
sz.002105,2025-05-20,10.15,9.23,9.967497291440951,24.9295,897177526.47,35.98858887944002,3,False,28.37273991655076,0,MAIN
sz.002125,2025-06-23,13.52,12.29,10.008136696501223,14.9352,1259807507.68,84.35156594354277,3,False,23.269809428284848,0,MAIN
sz.002141,2025-05-06,2.37,2.26,4.86725663716816,1.7845,43140695.55,24.175228663491172,3,False,31.39534883720929,1,MAIN
sz.002141,2025-05-12,2.74,2.61,4.9808429118774145,2.4098,67879869.0,28.168258361689762,3,False,62.11180124223601,1,MAIN
sz.002168,2025-05-07,2.51,2.39,5.020920502092041,0.2022,3980448.36,19.685699109792285,3,False,1.271186440677985,1,MAIN
sz.002177,2025-05-30,6.34,5.76,10.069444444444445,3.2678,138644426.04,42.42745150866026,3,False,28.57142857142856,0,MAIN
sz.002181,2025-06-11,8.07,7.34,9.945504087193456,8.841,802848749.77,90.809721724918,3,False,31.77737881508078,0,MAIN
sz.002190,2025-05-09,22.28,20.25,10.024691358024707,2.7487,219691605.8,79.92563968421436,3,False,35.906040268456366,0,MAIN
sz.002199,2025-06-09,7.25,6.9,5.072463768115942,0.6091,10750307.25,17.64949474634707,3,False,32.692307692307686,1,MAIN
sz.002199,2025-06-18,9.24,8.8,5.000000000000004,12.3925,273524187.83,22.07175209441194,3,False,56.58362989323844,1,MAIN
sz.002207,2025-06-17,8.31,7.55,10.066225165562926,29.0991,630575338.45,21.66992582072985,3,False,31.304347826086953,0,MAIN
sz.002217,2025-06-26,2.85,2.59,10.038610038610042,3.5899,579964654.7,161.55454321847407,3,False,18.80733944954127,0,MAIN
sz.002250,2025-05-30,9.2,8.36,10.047846889952153,22.4513,1837707230.62,81.85304328123539,3,False,30.015552099533437,0,MAIN
sz.000691,2025-05-07,3.69,3.51,5.128205128205132,0.3752,4476006.9,11.929655916844352,3,False,19.387755102040806,1,MAIN
sz.000668,2025-05-07,5.38,5.12,5.078125,5.0763,39013808.28,7.685481212694286,3,False,-0.5825242718446644,1,MAIN
sh.603577,2025-05-28,11.32,10.29,10.009718172983485,20.4301,774755179.05,37.92224115643096,3,False,22.79236276849639,0,MAIN
sz.000638,2025-05-15,3.93,3.74,5.080213903743314,0.3161,3852972.0,12.18909205947485,3,False,-23.360655737704917,1,MAIN
sh.603607,2025-05-26,29.13,26.48,10.007552870090633,20.1879,954962125.37,47.303688118625516,3,False,43.290043290043286,0,MAIN
sh.603610,2025-05-08,13.67,12.43,9.975864843121474,9.2355,452590378.98,49.00550906610362,3,False,9.611992945326286,0,MAIN
sh.603657,2025-05-08,22.4,20.36,10.019646365422386,3.603,107872786.0,29.939713016930337,3,False,11.074740861974908,0,MAIN
