序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1278,申万宏源证券有限公司上海静安区洛川东路证券营业部,2025-01-15,0,1,,13980400.0,-13980400.0,康为世纪,10025183
1279,国泰君安证券股份有限公司深圳益田路证券营业部,2025-01-10,0,1,3530.0,14040866.0,-14037336.0,电光科技,10025388
1280,华鑫证券有限责任公司湖州大线场路证券营业部,2025-01-13,0,1,6223.0,14161854.0,-14155631.0,康盛股份,10993984
1281,东莞证券股份有限公司浙江分公司,2025-01-17,0,1,0.0,14254315.0,-14254315.0,挖金客,10338950
1282,东方证券股份有限公司上海杨浦区安波路证券营业部,2025-01-17,0,1,9024.0,14272867.0,-14263843.0,科泰电源,10031926
1283,国泰君安证券股份有限公司河源越王大道证券营业部,2025-01-10,0,1,634440.0,14926584.0,-14292144.0,海得控制,10708141
1284,长城证券股份有限公司大连五惠路证券营业部,2025-01-15,0,1,,14397807.46,-14397807.46,*ST柳化,10025232
1285,华泰证券股份有限公司常熟金沙江路证券营业部,2025-01-17,0,1,,14501700.0,-14501700.0,清溢光电,10021990
1286,中银国际证券股份有限公司南京洪武北路证券营业部,2025-01-10,0,1,,14504130.0,-14504130.0,苏豪弘业,10071020
1287,中泰证券股份有限公司上海建国中路证券营业部,2025-01-14,0,1,,14515950.0,-14515950.0,腾龙股份,10102873
1288,海通证券股份有限公司上海黄浦区福州路证券营业部,2025-01-14,0,1,,14537390.0,-14537390.0,腾龙股份,10028456
1289,南京证券股份有限公司常熟吉祥商城证券营业部,2025-01-14,0,1,,14657737.66,-14657737.66,万控智造,10055716
1290,东北证券股份有限公司南京中山北路证券营业部,2025-01-14,0,1,,14762837.0,-14762837.0,康尼机电,10089533
1291,恒泰证券股份有限公司杭州民和路证券营业部,2025-01-13,0,1,4018051.0,18792207.0,-14774156.0,德力股份,10495051
1292,方正证券股份有限公司鞍山胜利南路证券营业部,2025-01-15,0,1,,14830353.0,-14830353.0,*ST柳化,10147245
1293,银泰证券有限责任公司上海长宁区延安西路证券营业部,2025-01-14,0,1,0.0,14873857.32,-14873857.32,博菲电气,10048486
1294,渤海证券股份有限公司天津奉化道证券营业部,2025-01-16,0,2,6507330.0,21391204.0,-14883874.0,慧翰股份 博实结,10021939
1295,甬兴证券有限公司北京分公司,2025-01-13,0,1,,14901710.48,-14901710.48,麦迪科技,10000213384
1296,中信建投证券股份有限公司长沙车站北路证券营业部,2025-01-16,0,1,6985155.0,21898847.0,-14913692.0,东港股份,10318912
1297,海通证券股份有限公司鞍山二道街证券营业部,2025-01-15,0,1,,15005762.0,-15005762.0,*ST柳化,10023387
1298,中国中金财富证券有限公司上海分公司,2025-01-17,0,1,,15018918.19,-15018918.19,歌力思,10022016
1299,恒泰证券股份有限公司临河胜利北路证券营业部,2025-01-14,0,1,0.0,15129876.44,-15129876.44,骏创科技,10030423
1300,华泰证券股份有限公司总部,2025-01-17,0,2,,15144354.83,-15144354.83,红星发展 格尔软件,10028451
1301,万联证券股份有限公司永州芝山路证券营业部,2025-01-15,0,1,4639803.0,19786061.0,-15146258.0,中恒电气,10140766
1302,中国银河证券股份有限公司武汉中南路证券营业部,2025-01-17,0,1,3786.0,15155367.8,-15151581.8,东港股份,10074762
1303,光大证券股份有限公司北京总部基地证券营业部,2025-01-13,1,1,15007418.0,30195500.8,-15188082.8,美邦股份,10637135
1304,长城证券股份有限公司北京西直门外大街证券营业部,2025-01-10,0,1,,15272865.92,-15272865.92,华培动力,10025275
1305,东方证券股份有限公司上海杨浦区杨树浦路证券营业部,2025-01-13,0,1,29417.0,15314198.0,-15284781.0,立方退,10139140
1306,华泰证券股份有限公司吴江盛泽广州路证券营业部,2025-01-17,0,1,,15351600.0,-15351600.0,清溢光电,10140929
1307,国泰君安证券股份有限公司桂林穿山东路证券营业部,2025-01-14,0,1,,15378106.0,-15378106.0,福达股份,10134436
1308,东亚前海证券有限责任公司北京分公司,2025-01-17,0,1,0.0,15404358.0,-15404358.0,挖金客,10924073
1309,信达证券股份有限公司台州玉兰路证券营业部,2025-01-15,0,1,59250.0,15479889.0,-15420639.0,福石控股,10397651
1310,海通证券股份有限公司福州五一北路证券营业部,2025-01-13,0,1,1889342.0,17348657.0,-15459315.0,康盛股份,10030191
1311,西南证券股份有限公司浙江分公司,2025-01-15,0,1,3526506.0,18994939.0,-15468433.0,广博股份,10544217
1312,招商证券股份有限公司深圳科技园高新南一道证券营业部,2025-01-13,0,1,352422.0,15847592.0,-15495170.0,金奥博,10128338
1313,恒泰证券股份有限公司上海九江路证券营业部,2025-01-15,0,1,,15551574.0,-15551574.0,哈空调,10034079
1314,南京证券股份有限公司张家港东环路证券营业部,2025-01-17,0,1,,15755906.6,-15755906.6,博通集成,10040929
1315,海通证券股份有限公司新余劳动南路证券营业部,2025-01-10,0,1,0.0,15777480.0,-15777480.0,德福科技,10113920
1316,湘财证券股份有限公司上海江宁路证券营业部,2025-01-10,0,1,,15796207.0,-15796207.0,奥康国际,10025437
1317,申万宏源证券有限公司盐城解放南路证券营业部,2025-01-15,0,1,565182.0,16439919.0,-15874737.0,佳云科技,10061790
1318,华福证券有限责任公司上海宛平南路证券营业部,2025-01-10,0,1,0.0,15954499.36,-15954499.36,日海智能,10058644
1319,恒泰证券股份有限公司上海九江路证券营业部,2025-01-17,0,1,,16096500.0,-16096500.0,哈空调,10034079
1320,中山证券有限责任公司温州瓯江路证券营业部,2025-01-13,0,1,,16208829.04,-16208829.04,天和磁材,10000075677
1321,华鑫证券有限责任公司上海莘庄证券营业部,2025-01-14,0,1,,16239865.0,-16239865.0,麦迪科技,10048295
1322,国泰君安证券股份有限公司临海巾山中路证券营业部,2025-01-13,0,1,,16302137.0,-16302137.0,麦迪科技,10025171
1323,东吴证券股份有限公司太仓港经济技术开发区浮桥证券营业部,2025-01-14,0,1,3992.0,16385615.0,-16381623.0,粤宏远A,10467412
1324,招商证券股份有限公司上海娄山关路证券营业部,2025-01-13,0,1,,16394973.0,-16394973.0,共进股份,10122836
1325,广发证券股份有限公司杭州学院路证券营业部,2025-01-15,0,1,0.0,16396200.0,-16396200.0,壹网壹创,10104133
1326,中信证券股份有限公司北京金融大街证券营业部,2025-01-16,0,1,,16409748.0,-16409748.0,*ST柳化,10470757
1327,华泰证券股份有限公司上海武定路证券营业部,2025-01-17,0,1,,16418345.89,-16418345.89,哈空调,10098087
1328,财通证券股份有限公司南京中山北路证券营业部,2025-01-14,0,1,0.0,16420674.75,-16420674.75,天罡股份,10027025
1329,国泰君安证券股份有限公司襄阳长虹路证券营业部,2025-01-13,0,1,,16517285.0,-16517285.0,福达股份,10140604
1330,东方证券股份有限公司上海杨浦区杨树浦路证券营业部,2025-01-14,0,1,121644.0,16672758.0,-16551114.0,立方退,10139140
1331,华宝证券股份有限公司上海东大名路证券营业部,2025-01-14,0,1,1665567.0,18285023.0,-16619456.0,好想你,10456831
1332,国泰君安证券股份有限公司三亚迎宾路证券营业部,2025-01-15,2,2,215051989.2,231686431.77,-16634442.57,好想你 来伊份,10564207
1333,中国国际金融股份有限公司上海分公司,2025-01-10,10,7,353085236.54,369764395.89,-16679159.35,粤宏远A 江钨装备 哈药股份 济高发展 北特科技 国货航 蔚蓝锂芯 博通集成 国星光电 旭升集团 中坚科技 力鼎光电 欣天科技 华塑科技,10088113
1334,红塔证券股份有限公司北京万泉庄路证券营业部,2025-01-17,0,1,1086.0,16768290.0,-16767204.0,ST汇洲,10069910
1335,光大证券股份有限公司北京总部基地证券营业部,2025-01-10,0,1,,16779840.0,-16779840.0,来伊份,10637135
1336,联储证券股份有限公司杭州西湖桃源岭证券营业部,2025-01-16,0,1,,16825990.0,-16825990.0,*ST柳化,10000866015
1337,东方证券股份有限公司杭州龙井路证券营业部,2025-01-10,0,1,,16849712.6,-16849712.6,银座股份,10086482
1338,上海证券有限责任公司崇明区堡镇中路证券营业部,2025-01-17,0,1,,16902497.0,-16902497.0,红星发展,10048468
1339,甬兴证券有限公司北京分公司,2025-01-15,0,1,0.0,16935714.0,-16935714.0,南京公用,10000213384
1340,中信证券（山东）有限责任公司龙口南山路证券营业部,2025-01-16,0,1,,17012500.0,-17012500.0,鸿泉技术,10484583
1341,西部证券股份有限公司北京新街口北大街证券营业部,2025-01-13,0,1,,17537892.0,-17537892.0,苏豪弘业,10046700
1342,金元证券股份有限公司东阳中山路证券营业部,2025-01-13,0,1,,17562565.48,-17562565.48,天和磁材,10441337
1343,华林证券股份有限公司深圳分公司,2025-01-17,1,2,28778976.0,46360832.0,-17581856.0,*ST柳化 宁波东力 康盛股份,10000279530
1344,国投证券股份有限公司长沙五一大道证券营业部,2025-01-13,0,1,334661.0,17976832.0,-17642171.0,茂硕电源,10000339863
1345,招商证券股份有限公司福州六一中路证券营业部,2025-01-17,1,1,53677565.16,71323582.0,-17646016.84,金奥博,10318896
1346,中信建投证券股份有限公司杭州庆春路证券营业部,2025-01-14,1,1,136178200.0,153824300.0,-17646100.0,绿的谐波,10033779
