code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre,code6,name
sh.600783,2025-12-29,23.21,23.21,23.21,23.21,21.1,2234434.0,51861213.14,0.3002,0,0.1,主板,23.21,True,4,17275554010.65956,14.5,0.6006896551724139,600783,鲁信创投
sh.603278,2025-12-29,13.57,14.08,12.8,14.08,12.8,25645457.0,349207163.13,7.504,0,0.1,主板,14.08,True,4,4653613581.156716,9.52,0.47899159663865554,603278,大业股份
sh.603843,2025-12-30,5.48,5.48,5.48,5.48,5.22,2821780.0,15463354.4,0.4033,1,0.05,ST,5.48,True,4,3834206397.222911,8.66,-0.36720554272517314,603843,*ST正平
sz.002009,2025-12-30,21.77,23.43,21.77,23.43,21.3,105154399.0,2424755299.58,29.6944,0,0.1,主板,23.43,True,4,8165698918.247211,16.25,0.4418461538461538,002009,天奇股份
sz.002347,2025-12-30,9.21,11.25,9.21,11.25,10.23,217471962.0,2278705314.23,44.0777,0,0.1,主板,11.25,True,4,5169746411.972494,6.81,0.6519823788546257,002347,泰尔股份
sz.002931,2025-12-30,28.82,28.82,28.82,28.82,26.2,130221.0,3752969.22,0.0647,0,0.1,主板,28.82,True,4,5800570664.605874,21.0,0.3723809523809525,002931,锋龙股份
sh.600624,2025-11-03,6.16,6.16,6.16,6.16,5.87,1746745.0,10759949.2,0.2571,1,0.05,ST,6.16,True,3,4185122209.257098,5.72,0.0769230769230771,600624,ST复华
sh.603021,2025-11-03,5.08,5.08,5.08,5.08,4.84,1466200.0,7448296.0,0.4583,1,0.05,ST,5.08,True,3,1625200960.0698233,4.62,0.09956709956709964,603021,*ST华鹏
sz.000638,2025-11-03,7.41,7.54,7.35,7.54,7.18,5917200.0,44182872.14,1.9079,1,0.05,ST,7.54,True,3,2315785530.6881914,3.95,0.9088607594936708,000638,
sz.002789,2025-11-03,11.72,11.74,11.62,11.74,11.18,3288970.0,38543887.8,2.102,1,0.05,ST,11.74,True,3,1833676869.6479545,9.5,0.23578947368421055,002789,*ST建艺
sh.603823,2025-11-04,19.39,19.39,18.34,19.39,17.63,71705456.0,1376751915.02,17.4452,0,0.1,主板,19.39,True,3,7891866616.719786,14.92,0.2995978552278822,603823,百合花
sz.000572,2025-11-04,7.95,7.99,7.47,7.99,7.26,198902333.0,1575670010.64,12.1116,0,0.1,主板,7.99,True,3,13009594195.977411,5.73,0.3944153577661431,000572,海马汽车
sz.000592,2025-11-04,8.31,8.57,7.8,8.57,7.79,374394453.0,3116414764.15,19.5497,0,0.1,主板,8.57,True,3,15940985100.28287,3.52,1.4346590909090908,000592,平潭发展
sz.000736,2025-11-04,6.18,6.18,6.18,6.18,5.89,1371000.0,8472780.0,0.1901,1,0.05,ST,6.18,True,3,4457012098.895319,4.76,0.2983193277310925,000736,中交发展
sz.002181,2025-11-04,12.74,12.75,12.5,12.75,11.59,78333149.0,996530281.96,6.9045,0,0.1,主板,12.75,True,3,14433054992.5411,8.02,0.589775561097257,002181,粤 传 媒
sz.002485,2025-11-04,4.48,4.48,4.28,4.48,4.27,8974182.0,39891577.86,1.6497,1,0.05,ST,4.48,True,3,2418111042.007638,3.61,0.24099722991689765,002485,ST雪发
sh.600408,2025-11-05,3.8,4.14,3.76,4.14,3.76,109084942.0,441857312.15,10.8348,0,0.1,主板,4.14,True,3,4078130765.2194777,2.26,0.831858407079646,600408,安泰集团
sh.601929,2025-11-05,4.48,4.93,4.26,4.93,4.48,1017422749.0,4814963034.86,29.1543,0,0.1,主板,4.93,True,3,16515447240.578577,3.77,0.3076923076923077,601929,吉视传媒
sz.000620,2025-11-05,3.15,3.3,3.03,3.3,3.0,571319091.0,1836047809.08,12.2292,0,0.1,主板,3.3,True,3,15013637924.639385,1.62,1.0370370370370368,000620,盈新发展
sz.002255,2025-11-05,11.88,11.88,11.88,11.88,10.8,13668687.0,162384001.56,2.1425,0,0.1,主板,11.88,True,3,7579183270.011668,8.35,0.42275449101796414,002255,海陆重工
