code,date,open,high,low,close,preclose,volume,amount,turn,isST,limit_pct,limit_price,is_zhangting,pct_chg
sh.600303,2025-04-11,3.34,3.34,3.34,3.34,3.18,566700.0,1892778.0,0.0839,1,0.05,3.34,True,5.031446540880502
sh.600303,2025-04-14,3.51,3.51,3.51,3.51,3.34,385710.0,1353842.1,0.0571,1,0.05,3.51,True,5.089820359281427
sh.600303,2025-04-15,3.69,3.69,3.69,3.69,3.51,1311802.0,4840549.38,0.1942,1,0.05,3.69,True,5.128205128205132
sh.600303,2025-04-16,3.87,3.87,3.82,3.87,3.69,22464754.0,86923662.98,3.3251,1,0.05,3.87,True,4.878048780487809
sh.600308,2025-04-21,3.3,3.65,3.26,3.65,3.32,38847355.0,137017983.2,2.561,0,0.1,3.65,True,9.93975903614459
sh.600308,2025-04-22,4.02,4.02,4.02,4.02,3.65,32548892.0,130846545.84,2.1458,0,0.1,4.02,True,10.136986301369856
sh.600310,2025-04-24,4.61,5.07,4.61,5.07,4.61,208388606.0,1037932907.7,14.2176,0,0.1,5.07,True,9.97830802603037
sh.600316,2025-03-04,34.62,37.4,34.0,37.4,34.0,39543134.0,1438720515.24,5.5142,0,0.1,37.4,True,9.999999999999986
sh.600318,2025-03-05,7.86,8.7,7.66,8.7,7.91,110871579.0,935823851.62,21.6239,0,0.1,8.7,True,9.987357774968375
sh.600318,2025-03-14,8.44,9.23,8.4,9.23,8.39,87806213.0,786451968.04,17.1253,0,0.1,9.23,True,10.011918951132293
sh.600318,2025-03-28,9.03,10.05,9.03,10.05,9.14,119978867.0,1170319683.35,23.4001,0,0.1,10.05,True,9.956236323851208
sh.600319,2025-03-27,5.44,6.0,5.41,6.0,5.45,24653737.0,145485967.0,7.8119,0,0.1,6.0,True,10.091743119266061
sh.600320,2025-03-20,4.06,4.47,4.06,4.47,4.06,142267249.0,615167190.87,4.2826,0,0.1,4.47,True,10.098522167487701
sh.600320,2025-03-21,4.85,4.92,4.79,4.92,4.47,115981725.0,567077307.37,3.4913,0,0.1,4.92,True,10.067114093959727
sh.600320,2025-03-24,5.41,5.41,5.41,5.41,4.92,93977949.0,508420704.09,2.829,0,0.1,5.41,True,9.959349593495936
sh.600336,2025-04-11,5.8,6.42,5.79,6.42,5.84,31182098.0,194353014.16,3.9075,0,0.1,6.42,True,9.931506849315074
sh.600337,2025-04-10,1.69,1.87,1.68,1.87,1.7,38285968.0,69034704.76,2.6643,0,0.1,1.87,True,10.000000000000009
sh.600337,2025-04-11,2.06,2.06,2.06,2.06,1.87,29790636.0,61368710.16,2.0731,0,0.1,2.06,True,10.160427807486627
sh.600337,2025-04-30,1.86,1.9,1.86,1.9,1.73,24032570.0,45547569.0,1.6724,0,0.1,1.9,True,9.826589595375722
sh.600340,2025-04-30,2.15,2.39,2.15,2.39,2.17,251303349.0,585364906.81,6.4547,0,0.1,2.39,True,10.138248847926267
sh.600343,2025-03-05,10.38,11.44,10.28,11.44,10.4,37460691.0,413670640.6,5.8697,0,0.1,11.44,True,9.999999999999986
sh.600343,2025-04-09,9.91,10.97,9.81,10.97,9.97,18604780.0,198491900.64,2.9152,0,0.1,10.97,True,10.03009027081243
sh.600345,2025-03-10,24.4,26.71,24.4,26.71,24.28,23660500.0,622706221.85,11.1839,0,0.1,26.71,True,10.00823723228994
sh.600348,2025-03-25,6.78,7.44,6.73,7.44,6.76,134646673.0,966265837.91,3.7324,0,0.1,7.44,True,10.059171597633142
sh.600353,2025-04-01,8.62,9.57,8.53,9.57,8.7,112735644.0,1026026827.59,13.6021,0,0.1,9.57,True,10.000000000000009
sh.600354,2025-04-07,5.99,6.35,5.85,6.35,5.77,141972294.0,880684812.14,26.8988,0,0.1,6.35,True,10.051993067590992
sh.600355,2025-04-08,2.73,3.03,2.71,3.03,2.75,66944400.0,196563040.09,13.6041,0,0.1,3.03,True,10.18181818181818
sh.600358,2025-03-25,3.56,3.78,3.56,3.78,3.6,19448857.0,72058405.52,3.8517,1,0.05,3.78,True,4.999999999999982
sh.600358,2025-03-27,3.91,4.14,3.86,4.14,3.94,20826155.0,83829454.63,4.1245,1,0.05,4.14,True,5.076142131979688
sh.600358,2025-04-09,3.9,4.11,3.81,4.11,3.91,15680606.0,62918414.17,3.1055,1,0.05,4.11,True,5.115089514066495
sh.600358,2025-04-28,4.04,4.21,4.04,4.21,4.01,13283046.0,55630179.26,2.6306,1,0.05,4.21,True,4.987531172069826
sh.600360,2025-03-04,5.55,5.83,5.46,5.83,5.55,39365865.0,225695428.73,4.0993,1,0.05,5.83,True,5.04504504504506
sh.600360,2025-03-11,6.37,6.75,6.31,6.75,6.43,43305041.0,284745779.33,4.5096,1,0.05,6.75,True,4.976671850699854
sh.600360,2025-03-13,6.77,7.07,6.69,7.07,6.73,48811246.0,337023269.36,5.0829,1,0.05,7.07,True,5.052005943536408
sh.600360,2025-03-24,6.01,6.29,5.94,6.29,5.99,30674196.0,191224740.2,3.1942,1,0.05,6.29,True,5.008347245409017
sh.600360,2025-03-25,6.56,6.6,6.49,6.6,6.29,14990336.0,98473157.38,1.561,1,0.05,6.6,True,4.9284578696343395
sh.600360,2025-03-26,6.79,6.93,6.7,6.93,6.6,63364044.0,433378724.91,6.5984,1,0.05,6.93,True,5.000000000000004
sh.600360,2025-04-15,6.65,6.99,6.65,6.99,6.66,18745900.0,129014463.0,1.9521,1,0.05,6.99,True,4.954954954954949
sh.600361,2025-03-07,3.99,4.27,3.99,4.27,3.88,132931757.0,560469451.09,7.9743,0,0.1,4.27,True,10.051546391752563
sh.600363,2025-03-03,48.75,53.11,48.75,53.11,48.28,27171066.0,1415268523.91,5.9912,0,0.1,53.11,True,10.004142502071245
sh.600363,2025-03-17,62.05,66.36,60.39,66.36,60.33,28169336.0,1822492459.85,6.2113,0,0.1,66.36,True,9.995027349577335
sh.600365,2025-04-21,2.58,2.68,2.57,2.68,2.55,2171020.0,5758601.6,0.5185,1,0.05,2.68,True,5.098039215686279
sh.600365,2025-04-22,2.81,2.81,2.81,2.81,2.68,1298900.0,3649909.0,0.3102,1,0.05,2.81,True,4.850746268656714
sh.600365,2025-04-23,2.95,2.95,2.89,2.95,2.81,22090904.0,65037102.92,5.2758,1,0.05,2.95,True,4.982206405693956
sh.600365,2025-04-24,2.95,3.1,2.93,3.1,2.95,13006384.0,39333651.24,3.1062,1,0.05,3.1,True,5.084745762711851
sh.600365,2025-04-28,3.1,3.15,3.03,3.15,3.0,18880200.0,58805670.96,4.509,1,0.05,3.15,True,5.000000000000004
sh.600367,2025-03-07,14.3,15.26,14.3,15.26,13.87,31853996.0,482352201.65,9.8934,0,0.1,15.26,True,10.021629416005773
sh.600367,2025-03-25,14.1,15.54,14.01,15.54,14.13,28656000.0,426630034.0,8.9001,0,0.1,15.54,True,9.97876857749469
sh.600368,2025-04-03,4.57,5.08,4.57,5.08,4.62,124994957.0,612660642.34,7.7653,0,0.1,5.08,True,9.956709956709965
sh.600370,2025-03-26,1.74,1.94,1.74,1.94,1.76,60068777.0,114388676.61,1.5416,0,0.1,1.94,True,10.22727272727273
sh.600370,2025-03-27,1.95,2.13,1.9,2.13,1.94,131766417.0,268522640.21,3.3816,0,0.1,2.13,True,9.793814432989677
sh.600370,2025-03-31,1.98,2.22,1.98,2.22,2.02,87302449.0,189635126.81,2.2405,0,0.1,2.22,True,9.90099009900991
sh.600370,2025-04-21,1.67,1.84,1.65,1.84,1.67,79483243.0,141419473.97,2.0398,0,0.1,1.84,True,10.179640718562876
sh.600370,2025-04-22,1.86,2.02,1.8,2.02,1.84,119481674.0,229774029.9,3.0663,0,0.1,2.02,True,9.782608695652172
