date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-07-06,A,688293,奥浦迈,probe,2026-07-06,44.24,2026-08-21,61.75,39.58,52.64,34
2026-07-06,A,688690,纳微科技,watch,2026-07-06,41.06,2026-08-21,43.4,5.7,10.5,34
2026-07-06,A,300725,药石科技,probe,2026-07-06,37.45,2026-08-21,51.46,37.41,46.3,34
2026-07-06,A,603191,望变电气,watch,2026-07-06,15.62,2026-08-21,14.73,-5.7,8.45,34
2026-07-06,A,002270,华明装备,watch,2026-07-06,19.86,2026-08-21,19.26,-3.02,5.99,34
2026-07-06,A,600577,精达股份,reject,2026-07-06,9.37,2026-08-21,8.66,-7.58,0.0,34
2026-07-06,A,688190,云路股份,reject,2026-07-06,85.59,2026-08-21,73.06,-14.64,0.0,34
2026-07-06,A,600873,梅花生物,probe,2026-07-06,7.67,2026-08-21,7.76,1.17,10.04,34
2026-07-06,A,600299,安迪苏,reject,2026-07-06,8.32,2026-08-21,8.49,2.04,4.45,34
2026-07-06,A,600201,生物股份,watch,2026-07-06,12.74,2026-08-21,12.65,-0.71,9.65,34
2026-07-06,A,603566,普莱柯,watch,2026-07-06,10.55,2026-08-21,10.29,-2.46,4.36,34
2026-07-07,A,603688,石英股份,watch,2026-07-07,64.91,2026-08-21,48.75,-24.9,3.48,33
2026-07-07,A,600497,驰宏锌锗,reject,2026-07-07,10.34,2026-08-21,10.12,-2.13,3.77,33
2026-07-07,A,000657,中钨高新,watch,2026-07-07,76.84,2026-08-21,68.14,-11.32,0.0,33
2026-07-07,A,600206,有研新材,watch,2026-07-07,55.94,2026-08-21,54.24,-3.04,7.17,33
2026-07-07,A,688012,中微公司,watch,2026-07-07,420.04,2026-08-21,362.5,-13.7,12.27,33
2026-07-07,A,688120,华海清科,watch,2026-07-07,276.0,2026-08-21,271.7,-1.56,24.64,33
2026-07-07,A,688147,微导纳米,watch,2026-07-07,142.2,2026-08-21,119.72,-15.81,10.41,33
2026-07-07,A,688361,中科飞测,watch,2026-07-07,356.6,2026-08-21,349.46,-2.0,25.21,33
2026-07-08,A,600183,生益科技,watch,2026-07-08,145.46,2026-08-21,132.8,-8.7,8.21,32
2026-07-08,A,600206,有研新材,watch,2026-07-08,53.94,2026-08-21,54.24,0.56,11.14,32
2026-07-08,A,000657,中钨高新,watch,2026-07-08,73.95,2026-08-21,68.14,-7.86,2.76,32
2026-07-08,A,688766,普冉股份,watch,2026-07-08,694.0,2026-08-21,463.65,-33.19,9.81,32
2026-07-08,A,600378,昊华科技,watch,2026-07-08,62.51,2026-08-21,47.24,-24.43,5.9,32
2026-07-08,A,601958,金钼股份,watch,2026-07-08,21.41,2026-08-21,21.94,2.48,15.23,32
2026-07-08,A,688072,拓荆科技,watch,2026-07-13,845.0,2026-08-21,673.5,-20.3,0.59,29
2026-07-08,A,688120,华海清科,watch,2026-07-08,295.0,2026-08-21,271.7,-7.9,16.61,32
2026-07-08,A,603688,石英股份,reject,2026-07-08,61.06,2026-08-21,48.75,-20.16,10.01,32
2026-07-08,A,688409,富创精密,reject,2026-07-08,265.2,2026-08-21,209.0,-21.19,8.09,32
2026-07-09,A,603688,石英股份,watch,2026-07-09,67.17,2026-08-21,48.75,-27.42,0.0,31
2026-07-09,A,600353,旭光电子,reject,2026-07-09,40.88,2026-08-21,38.28,-6.36,3.23,31
2026-07-09,A,600176,中国巨石,watch,2026-07-09,58.7,2026-08-21,42.04,-28.38,0.0,31
2026-07-09,A,600549,厦门钨业,watch,2026-07-09,64.71,2026-08-21,55.58,-14.11,0.0,31
2026-07-09,A,688690,纳微科技,watch,2026-07-09,40.45,2026-08-21,43.4,7.29,12.16,31
2026-07-09,A,688293,奥浦迈,reject,2026-07-09,43.1,2026-08-21,61.75,43.27,56.68,31
2026-07-09,A,688179,阿拉丁,reject,2026-07-09,28.31,2026-08-21,20.89,-26.21,0.0,31
2026-07-09,A,688409,富创精密,watch,2026-07-09,286.66,2026-08-21,209.0,-27.09,0.0,31
2026-07-09,A,688268,华特气体,reject,2026-07-09,229.21,2026-08-21,145.2,-36.65,0.0,31
2026-07-09,A,688019,安集科技,probe,2026-07-09,343.9,2026-08-21,241.07,-29.9,0.0,31
2026-07-10,A,002428,云南锗业,watch,2026-07-10,100.26,2026-08-21,100.88,0.62,9.37,30
2026-07-10,A,301217,铜冠铜箔,watch,2026-07-10,132.09,2026-08-21,114.8,-13.09,1.6,30
2026-07-10,A,688137,近岸蛋白,reject,2026-07-10,39.0,2026-08-21,80.99,107.67,107.67,30
2026-07-10,A,301301,川宁生物,reject,2026-07-10,8.42,2026-08-21,9.02,7.13,12.23,30
2026-07-10,A,688621,阳光诺和,reject,2026-07-10,51.61,2026-08-21,66.01,27.9,31.56,30
2026-07-10,A,002158,汉钟精机,reject,2026-07-10,36.89,2026-08-21,26.35,-28.57,0.0,30
2026-07-10,A,300820,英杰电气,watch,2026-07-10,67.51,2026-08-21,52.71,-21.92,0.0,30
2026-07-10,A,300346,南大光电,watch,2026-07-10,74.27,2026-08-21,56.85,-23.45,0.0,30
2026-07-10,A,300706,阿石创,reject,2026-07-10,65.08,2026-08-21,52.42,-19.45,0.26,30
