,upbig_600183,pct_600183,upbig_002463,pct_002463,upbig_002916,pct_002916,upbig_300476,pct_300476,upbig_002938,pct_002938,upbig_300502,pct_300502,upbig_300308,pct_300308,upbig_300394,pct_300394,upbig_300408,pct_300408,upbig_301018,pct_301018,upbig_002837,pct_002837,theme_count,theme_basket_ret_eq
2026-07-09,0,8.208442183418118,0,7.098283931357274,1,9.999254343449415,0,6.093113065865685,0,4.480227845328066,0,6.784903296531208,0,5.897992644126404,0,10.5096059915337,0,2.5914283523729154,0,4.809976247030878,0,5.199667221297832,1,6.515717738391955
2026-07-10,0,-5.0889453621347,0,-5.724690458849246,0,-3.7418655097613884,0,-8.32490731378497,0,3.239672887397771,0,-4.115490375802022,0,-8.445895053979413,0,-0.13996316758747573,0,-5.051939316941933,0,-3.2294617563739303,0,-3.071042572821925,0,-3.97222981823993
2026-07-13,0,-10.000669388847982,0,-3.6928306551297863,0,-7.607981220657278,0,0.37132352941176006,0,-2.203716868081651,0,-2.017015581684345,0,1.281559077862493,0,-4.3560047211566815,0,-12.003148366784732,0,-7.49414519906324,0,-8.92031547457166,0,-5.149358624427555
2026-07-14,1,10.00371885459279,1,10.003208727739455,0,3.912701034070998,0,6.3257756126149145,0,9.283489096573216,0,10.98926829268294,0,6.863718411552333,0,5.476071111796688,0,9.016100178890873,0,2.965641952983722,0,4.702896386981181,2,7.23114451458901
2026-07-15,0,3.0628803245436043,0,0.07292350324508146,0,-7.765471038411698,0,-4.654127049745071,0,-2.099961991638155,0,-2.253788544706592,0,-1.2448798614923318,0,-5.158860736353333,0,-5.973088283557604,0,-6.937126800140492,0,-3.4079566519321314,0,-3.3054051936535203
2026-07-16,0,-3.5688512759955326,0,-0.3716388544778737,0,-3.5071441825941796,0,-2.1100552805578543,0,0.05823546539842628,0,-2.410071942446035,0,-4.815660517741227,0,-5.886661526599834,0,-6.753926701570679,0,-2.896772976033224,0,0.1771479185119551,0,-2.9168545340096417
2026-07-17,0,-10.000680318389021,0,-6.524283206553538,0,-8.241758241758246,0,-10.862584431402944,0,-8.92424095450577,0,-11.006266126059716,0,-11.998203054806822,0,-13.419079998361527,0,-7.346060265768295,0,-15.498979690992131,0,-9.269083407014445,0,-10.281019972328405
2026-07-20,0,-6.765439564592935,0,-9.999999999999998,0,-2.8862275449101804,0,-7.200828157349893,0,-3.195228458834809,0,5.616302186878719,0,2.5054621934535337,0,1.0266357572030094,0,-8.069891930108074,0,-8.222171113155463,0,-9.9236641221374,0,-4.2831864321412265
2026-07-21,1,9.996756932057703,0,6.590158233350718,0,7.904797138981379,0,7.210744723573237,0,5.18208823853008,0,8.190196078431367,0,13.202191235059747,0,8.176454060129256,0,18.14985717424744,0,13.05600801904523,0,8.168049044356284,1,9.620663716160221
2026-07-22,0,-7.127589002727197,0,-6.827079934747138,0,-3.434285714285712,0,0.05410579764431045,0,-4.382845188284512,0,-7.7876651503343775,0,-6.664906955259342,0,-5.787878787878786,0,-4.240282685512364,0,0.9642025933724874,0,0.8668111351891827,0,-4.03340126298395
