code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
688766,普冉股份,2026-08-19,1929.65,336.6701829247,Beat(前1/3),0.9894736842105263,-0.04200852595274307,,,-0.024028745679527175,-0.017979780273215895,,,,
002155,湖南黄金,2026-08-21,46.01,12.6336341891,Beat(前1/3),0.708187134502924,,,,0.00037963778661431746,,,,,
300801,泰和科技,2026-08-24,148.24,-1.4007810015,Beat(前1/3),0.8678362573099415,,,,,,,,,
002923,润都股份,2026-08-21,212.59,29.3430766094,Beat(前1/3),0.908187134502924,-0.04081632653061229,,,0.00037963778661431746,-0.04119596431722661,,,,
002290,禾盛新材,2026-07-29,40.42,2.7448558437,Beat(前1/3),0.6830409356725147,0.006774557771923151,0.02182913059841929,,0.0039739701545769,0.0028005876173462507,0.0023522840363305875,0.0194768465620887,,
301062,上海艾录,2026-08-18,479.98,14.3575604761,Beat(前1/3),0.9567251461988304,-0.022955523672883782,,,0.0019208296778983058,-0.024876353350782088,,,,
002105,信隆健康,2026-08-22,151.02,23.3030238907,Beat(前1/3),0.8695906432748538,,,,,,,,,
603929,亚翔集成,2026-07-31,204.8,51.3555104102,Beat(前1/3),0.904093567251462,0.02391124586549065,0.11872932745314224,,0.007246051126858388,0.01666519473863226,0.02514237022540322,0.09358695722773902,,
601677,明泰铝业,2026-08-18,49.61,24.231694841,Beat(前1/3),0.7198830409356726,-0.0023980815347721673,,,0.0019208296778983058,-0.004318911212670473,,,,
688082,盛美上海,2026-08-08,42.14,13.8672209019,Beat(前1/3),0.6923976608187135,0.12159722222222213,0.06041666666666656,,0.006740292032790585,0.11485693018943155,-0.0032641825444785777,0.06368084921114514,,
300855,图南股份,2026-08-19,167.92,70.8964547914,Beat(前1/3),0.8807017543859649,0.016009852216748888,,,-0.024028745679527175,0.04003859789627606,,,,
002125,湘潭电化,2026-08-22,78.63,5.0661508452,Beat(前1/3),0.7859649122807018,,,,,,,,,
300620,光库科技,2026-08-18,186.09,72.9098394423,Beat(前1/3),0.8964912280701754,-0.008631772268135829,,,0.0019208296778983058,-0.010552601946034135,,,,
002092,中泰化学,2026-08-15,138.55,10.1073834304,Beat(前1/3),0.8590643274853801,-0.006651884700665023,-0.011086474501108556,,0.014126690527748176,-0.0207785752284132,-0.005595114657453548,-0.005491359843655008,,
301696,三瑞智能,2026-08-17,65.45,68.7919259598,Beat(前1/3),0.7567251461988304,0.06561654425976027,-0.041940471588712835,,0.014126690527748176,0.05148985373201209,-0.005595114657453548,-0.03634535693125929,,
601168,西部矿业,2026-07-30,123.0,24.7432887685,Beat(前1/3),0.8415204678362573,-0.007044161473855226,0.11135193714440539,,-0.006210315402841116,-0.0008338460710141105,0.013049864057930183,0.0983020730864752,,
688656,浩欧博,2026-08-18,37.05,3.2201086051,Beat(前1/3),0.672514619883041,0.0791213478353594,,,0.0019208296778983058,0.0772005181574611,,,,
300558,贝达药业,2026-08-21,115.97,14.12228548,Beat(前1/3),0.833625730994152,-0.08114901256732499,,,0.00037963778661431746,-0.0815286503539393,,,,
000990,诚志股份,2026-08-13,1416.23,2.7686437089,Beat(前1/3),0.9859649122807017,-0.008862629246676468,-0.056129985228951296,,-0.0049940772929111255,-0.0038685519537653423,-0.013239752449847098,-0.0428902327791042,,
000516,国际医学,2026-08-21,60.4,-0.1110506926,Beat(前1/3),0.747953216374269,-0.027842227378190088,,,0.00037963778661431746,-0.028221865164804405,,,,
300199,翰宇药业,2026-08-21,62.72,25.270089932,Beat(前1/3),0.7526315789473684,-0.04149377593360992,,,0.00037963778661431746,-0.04187341372022424,,,,
000421,南京公用,2026-08-24,163.53,28.3279792732,Beat(前1/3),0.876608187134503,,,,,,,,,
002192,融捷股份,2026-08-18,1076.14,402.3507799318,Beat(前1/3),0.9818713450292398,-0.04606240713224363,,,0.0019208296778983058,-0.04798323681014194,,,,
002346,柘中股份,2026-08-20,118.53,11.7686441677,Beat(前1/3),0.8368421052631579,-0.09999999999999998,,,0.002387774103576934,-0.10238777410357691,,,,
600617,国新能源,2026-08-22,44.26,-10.6359972367,Beat(前1/3),0.704093567251462,,,,,,,,,
600719,大连热电,2026-08-14,223.2145896832,0.1745434464,Beat(前1/3),0.9111111111111111,-0.03717948717948716,-0.09615384615384615,,5.3731062028772314e-05,-0.03723321824151593,-0.0059190749089946815,-0.09023477124485146,,
300213,佳讯飞鸿,2026-08-15,141.68,3.695605859,Beat(前1/3),0.8637426900584795,-0.015337423312883347,-0.04294478527607348,,0.014126690527748176,-0.029464113840631523,-0.005595114657453548,-0.037349670618619935,,
002902,铭普光磁,2026-08-22,78.92,31.8826156352,Beat(前1/3),0.7865497076023392,,,,,,,,,
002384,东山精密,2026-08-22,290.09,63.9481879305,Beat(前1/3),0.9333333333333333,,,,,,,,,
002951,金时科技,2026-08-24,76.73,-64.1334633059,Beat(前1/3),0.7824561403508772,,,,,,,,,
301179,泽宇智能,2026-08-24,68.11,13.4922788731,Beat(前1/3),0.7614035087719299,,,,,,,,,
