date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-07-07,688361,中科飞测,watch_expired,watch,2026-07-07,356.6,33,9.893,-10.83,,OK
2026-07-08,600183,生益科技,watch_expired,watch,2026-07-08,145.46,32,4.792,-15.585,,OK
2026-07-08,600206,有研新材,watch_expired,watch,2026-07-08,53.94,32,-11.735,-26.251,,OK
2026-07-08,000657,中钨高新,watch_expired,watch,2026-07-08,73.95,32,-5.612,-22.339,,OK
2026-07-08,688766,普冉股份,watch_expired,watch,2026-07-08,694.0,32,-16.715,-46.127,,OK
2026-07-08,600378,昊华科技,watch_expired,watch,2026-07-08,62.51,32,-16.765,-29.499,,OK
2026-07-08,601958,金钼股份,watch_expired,watch,2026-07-08,21.41,32,-1.074,5.652,,OK
2026-07-08,688072,拓荆科技,watch_expired,watch,2026-07-13,845.0,29,-24.609,-13.846,,OK
2026-07-08,688120,华海清科,watch_expired,watch,2026-07-08,295.0,32,-1.702,-17.627,,OK
2026-07-08,603688,石英股份,reject,reject,2026-07-08,61.06,32,-6.158,-23.829,,OK
2026-07-08,688409,富创精密,reject,reject,2026-07-08,265.2,32,-12.839,-34.525,,OK
2026-07-09,603688,石英股份,watch_expired,watch,2026-07-09,67.17,31,-19.622,-29.18,,OK
2026-07-09,600353,旭光电子,reject,reject,2026-07-09,40.88,31,-18.2,-35.225,,OK
2026-07-09,600176,中国巨石,watch_expired,watch,2026-07-09,58.7,31,-18.722,-30.528,,OK
2026-07-09,600549,厦门钨业,watch_expired,watch,2026-07-09,64.71,31,-13.97,-11.188,,OK
2026-07-09,688690,纳微科技,watch_expired,watch,2026-07-09,40.45,31,-13.226,-5.81,,OK
2026-07-09,688293,奥浦迈,reject,reject,2026-07-09,43.1,31,26.218,24.733,,OK
2026-07-09,688179,阿拉丁,reject,reject,2026-07-09,28.31,31,-20.947,-31.65,,OK
2026-07-09,688409,富创精密,watch_expired,watch,2026-07-09,286.66,31,-24.426,-35.882,,OK
2026-07-09,688268,华特气体,reject,reject,2026-07-09,229.21,31,-20.23,-34.078,,OK
2026-07-09,688019,安集科技,probe,probe,2026-07-09,343.9,31,-25.406,-28.933,,OK
2026-07-10,002428,云南锗业,watch_expired,watch,2026-07-10,100.26,30,-25.145,-0.18,,OK
2026-07-10,301217,铜冠铜箔,watch_expired,watch,2026-07-10,132.09,30,-2.301,-12.325,,OK
2026-07-10,688137,近岸蛋白,reject,reject,2026-07-10,39.0,30,-5.769,19.795,,OK
2026-07-10,301301,川宁生物,reject,reject,2026-07-10,8.42,30,0.831,7.482,,OK
2026-07-10,688621,阳光诺和,reject,reject,2026-07-10,51.61,30,11.568,25.712,,OK
2026-07-10,002158,汉钟精机,reject,reject,2026-07-10,36.89,30,-27.162,-23.882,,OK
2026-07-10,300820,英杰电气,watch_expired,watch,2026-07-10,67.51,30,-21.019,-19.627,,OK
2026-07-10,300346,南大光电,watch_expired,watch,2026-07-10,74.27,30,-22.728,-21.476,,OK
2026-07-10,300706,阿石创,reject,reject,2026-07-10,65.08,30,-22.818,-17.64,,OK
2026-07-10,603005,晶方科技,watch_expired,watch,2026-07-10,43.97,30,-29.384,-23.152,,OK
2026-07-10,600206,有研新材,reject,reject,2026-07-10,59.95,30,-33.578,-19.716,,OK
2026-07-10,603688,石英股份,reject,reject,2026-07-10,65.5,30,-23.832,-24.504,,OK
