code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct,code6,name
sz.002394,2025-07-17,11.74,10.67,3,False,0.0,18.2955,666051127.73,3640518858.0,52.07,0,0.1,002394,联发股份
sz.002549,2025-07-02,12.46,11.33,3,False,2.03,27.0574,2216127768.99,8190468297.0,20.97,0,0.1,002549,凯美特气
sz.002623,2025-07-04,20.77,18.88,3,False,10.01,18.3145,755248607.6,4123774100.0,39.77,0,0.1,002623,亚玛顿
sz.002644,2025-07-30,11.76,10.69,3,False,-3.27,17.435,978439804.62,5611928905.0,41.52,0,0.1,002644,佛慈制药
sz.002721,2025-07-07,4.42,4.02,3,False,0.0,10.6999,1215658819.89,11361403563.0,30.0,0,0.1,002721,金一文化
sz.002820,2025-08-13,15.05,13.68,3,False,10.01,26.1438,775494760.47,2966266421.0,35.71,0,0.1,002820,桂发祥
sz.002873,2025-08-19,15.19,13.81,3,False,3.98,12.2725,437619192.15,3565852044.0,41.04,0,0.1,002873,新天药业
sz.002915,2025-08-07,26.87,24.43,3,False,9.99,21.5058,1659710576.28,7717502145.0,59.18,0,0.1,002915,中欣氟材
sz.002951,2025-07-09,17.3,15.73,3,False,8.07,2.7182,188847063.0,6947504341.0,29.2,0,0.1,002951,金时科技
sz.003001,2025-07-23,37.18,33.8,3,True,10.0,0.9765,38967986.2,3990577184.0,2.71,0,0.1,003001,中岩大地
sz.003002,2025-07-23,34.61,31.46,3,False,10.01,13.7068,865623658.59,6315286271.0,27.34,0,0.1,003002,壶化股份
sz.300289,2025-08-04,10.14,8.45,3,False,5.33,32.3099,1588173372.84,4915438837.0,88.13,0,0.2,300289,利德曼
sz.300486,2025-08-05,20.39,16.99,3,False,12.12,33.6593,2642802446.72,7851626287.0,146.55,0,0.2,300486,东杰智能
sz.300528,2025-07-30,25.32,21.1,3,False,6.68,16.8099,1525271077.67,9073647539.0,138.64,0,0.2,300528,幸福蓝海
sz.300564,2025-07-23,25.03,20.86,3,False,10.02,38.96,1054780288.47,2707341603.0,74.06,0,0.2,300564,筑博设计
