code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600238,2025-07-31,7.59,7.23,2,False,1.66,3.8152,127999640.91,3354991636.0,25.04,1,0.1
sh.600238,2025-08-20,7.01,6.68,1,False,0.6,4.6086,142347583.79,3088738094.0,10.74,1,0.1
sh.600243,2025-07-10,3.19,3.04,1,False,0.33,4.9672,68946857.0,1388042700.0,-0.31,1,0.1
sh.600243,2025-08-08,3.5,3.33,1,False,0.6,4.4083,66212994.34,1502007448.0,10.76,1,0.1
sh.600243,2025-08-15,3.95,3.76,1,False,0.8,2.7093,46529756.0,1717408777.0,26.6,1,0.1
sh.600243,2025-08-19,4.32,4.11,1,False,0.73,3.2438,60921548.0,1878091991.0,34.58,1,0.1
sh.600243,2025-08-25,4.78,4.55,1,False,1.32,5.5682,115897550.8,2081418606.0,42.69,1,0.1
sh.600243,2025-08-26,5.02,4.78,2,False,0.42,3.5267,76503021.45,2169252317.0,51.2,1,0.1
sh.600246,2025-08-08,7.63,6.94,1,False,0.43,7.4442,1033630496.25,13885044682.0,18.29,0,0.1
sh.600246,2025-08-11,8.39,7.63,2,False,9.96,7.3322,1149465766.12,15676955977.0,31.92,0,0.1
sh.600246,2025-08-12,9.23,8.39,3,False,7.39,17.9463,3073158387.74,17124189319.0,46.74,0,0.1
sh.600246,2025-08-13,10.15,9.23,4,False,-0.87,15.8675,2851121723.87,17968310848.0,60.35,0,0.1
sh.600246,2025-08-21,10.55,9.59,1,True,10.01,1.3514,269530587.65,19944545482.0,49.43,0,0.1
sh.600246,2025-08-22,11.61,10.55,2,True,10.05,0.5103,112003527.6,21948565079.0,60.8,0,0.1
sh.600246,2025-08-25,12.77,11.61,3,True,9.99,0.3484,84116117.7,24143546986.0,76.87,0,0.1
sh.600246,2025-08-28,13.52,12.29,1,False,4.96,17.0607,4245250488.48,24883213986.0,92.32,0,0.1
sh.600250,2025-07-02,12.85,11.68,1,False,0.6,10.6049,405420085.69,3822950577.0,33.71,0,0.1
sh.600250,2025-07-07,14.19,12.9,1,False,2.48,7.8027,335307663.17,4297328658.0,27.04,0,0.1
sh.600250,2025-07-10,13.68,12.44,1,False,0.08,16.2889,653932035.81,4014586840.0,-2.84,0,0.1
sh.600252,2025-08-05,3.01,2.74,1,True,9.85,1.4604,145162604.79,9939920898.0,12.73,0,0.1
sh.600255,2025-08-15,4.74,4.31,1,False,0.7,30.6304,2561395752.07,8362266742.0,40.65,0,0.1
sh.600259,2025-07-24,63.39,57.63,1,False,-0.64,12.7092,2652916807.73,20873987409.0,25.6,0,0.1
sh.600259,2025-08-29,72.51,65.92,1,False,2.26,8.277,1962793867.52,23713831914.0,19.85,0,0.1
sh.600262,2025-08-26,25.48,23.16,1,False,3.11,7.8484,331042043.96,4217955812.0,8.7,0,0.1
sh.600265,2025-08-13,18.26,17.39,1,False,0.81,0.4392,10277171.0,2339975182.0,-1.72,1,0.1
sh.600265,2025-08-18,20.93,19.93,1,False,0.35,0.6443,17203758.0,2670147136.0,13.5,1,0.1
sh.600265,2025-08-19,21.98,20.93,2,False,5.02,1.9541,55274792.43,2828657307.0,16.42,1,0.1
sh.600265,2025-08-21,22.72,21.64,1,False,2.59,0.6797,19724328.4,2901916787.0,18.58,1,0.1
sh.600267,2025-07-04,10.65,9.68,1,False,0.0,9.221,1160700172.37,12587573716.0,16.39,0,0.1
